Ray Number,Pos X,Pos Y,Pos Z,Cos X,Cos Y,Cos Z,Element,Event
92,-1.29280996323,8.34536137972e-08,59.9635734558,0,0,0,127,ABSORB
93,-13.336523056,-23.7843551636,31.9091091156,0,0,0,-1,CREATE
93,-13.342083931,24.3879089355,-0.993617475033,0,0,0,100,REFLECT
94,25.2261352539,-25.5614337921,29.2705631256,0,0,0,-1,CREATE
94,25.2256526947,16.4444122314,0.400331646204,0,0,0,58,REFLECT
95,25.5832004547,-26.2333431244,28.2848587036,0,0,0,-1,CREATE
95,25.703163147,15.3547515869,0.0786437764764,0,0,0,64,REFLECT
96,15.942533493,-23.5489120483,32.2298545837,0,0,0,-1,CREATE
96,15.7495470047,24.727678299,-0.539689064026,0,0,0,45,REFLECT
97,1.48153579235,-19.9702987671,37.490272522,0,0,0,-1,CREATE
97,1.41931557655,32.5329818726,1.43928873539,0,0,0,5,REFLECT
98,2.2849240303,-2.49672913551,63.115852356,0,0,0,-1,CREATE
98,2.28330278397,-1.20121256941e-07,61.4233932495,0,0,0,127,ABSORB
99,-25.8336849213,-25.9733905792,28.7092094421,0,0,0,-1,CREATE
99,-25.7393321991,15.8406734467,0.293535262346,0,0,0,109,REFLECT
100,-4.14218425751,-2.66724944115,62.8711624146,0,0,0,-1,CREATE
100,-4.13788032532,2.58476546833e-08,61.0617332458,0,0,0,127,ABSORB
101,-3.07100009918,-5.35502433777,58.9284477234,0,0,0,-1,CREATE
101,-3.09250831604,9.21685625599e-08,55.2706451416,0,0,0,127,ABSORB
102,-0.660833120346,-21.4832420349,35.2732276917,0,0,0,-1,CREATE
102,-0.752444088459,30.0820045471,0.0135992523283,0,0,0,13,REFLECT
103,23.4408283234,-26.4021892548,28.0390281677,0,0,0,-1,CREATE
103,23.4893379211,15.5217380524,-0.444936394691,0,0,0,67,REFLECT
104,-21.5489444733,-27.3158130646,26.7368526459,0,0,0,-1,CREATE
104,-21.7974319458,13.7953033447,-1.27505886555,0,0,0,126,REFLECT
105,0.142555221915,-4.00967407227,60.8988075256,0,0,0,-1,CREATE
105,0.15860119462,2.03346303351e-07,58.1681289673,0,0,0,127,ABSORB
106,-11.9082775116,-22.6077136993,33.6335411072,0,0,0,-1,CREATE
106,-12.0102872849,26.5214061737,0.0100350100547,0,0,0,91,REFLECT
107,-27.9760551453,-27.9903717041,25.752954483,0,0,0,-1,CREATE
107,-28.089509964,11.5351724625,-1.07419240475,0,0,0,122,REFLECT
108,11.6577920914,-23.046546936,32.970199585,0,0,0,-1,CREATE
108,11.897693634,26.0120735168,-0.504737615585,0,0,0,42,REFLECT
109,4.42729282379,-3.33595323563,61.8832740784,0,0,0,-1,CREATE
109,4.43099451065,-1.84971895578e-08,59.5978126526,0,0,0,127,ABSORB
110,-1.99981558323,-0.986292719841,65.3346099854,0,0,0,-1,CREATE
110,-2.00041484833,6.1818596464e-08,64.6645812988,0,0,0,127,ABSORB
111,-14.0506486893,-24.2886695862,31.170091629,0,0,0,-1,CREATE
111,-14.434214592,23.3900432587,-1.39269328117,0,0,0,99,REFLECT
112,-15.6574249268,-21.6011047363,35.1129493713,0,0,0,-1,CREATE
112,-15.7435235977,28.3162155151,1.26285588741,0,0,0,79,REFLECT
113,1.21373963356,-5.01732826233,59.4201087952,0,0,0,-1,CREATE
113,1.23108243942,-2.11298356589e-07,55.9995918274,0,0,0,127,ABSORB
114,1.3327627182,-3.0011370182,62.3768997192,0,0,0,-1,CREATE
114,1.31870186329,2.20648530558e-08,60.3287620544,0,0,0,127,ABSORB
115,-17.1451816559,-23.6178302765,32.1565208435,0,0,0,-1,CREATE
115,-17.3018951416,24.3572406769,-0.643684864044,0,0,0,92,REFLECT
116,14.9903678894,-24.053319931,31.490901947,0,0,0,-1,CREATE
116,14.7787446976,24.0119380951,-1.07072222233,0,0,0,49,REFLECT
117,0.529374420643,-20.4747066498,36.7513237,0,0,0,-1,CREATE
117,0.725260555744,31.8678741455,1.03409051895,0,0,0,4,REFLECT
118,-18.7519607544,-22.2743606567,34.128162384,0,0,0,-1,CREATE
118,-18.6207122803,26.8509178162,0.784281551838,0,0,0,82,REFLECT
119,-0.809610009193,-1.74188256264,64.2254867554,0,0,0,-1,CREATE
119,-0.806778132915,3.58597844752e-08,63.0372810364,0,0,0,127,ABSORB
120,-28.9282188416,-26.3946266174,28.0940265656,0,0,0,-1,CREATE
120,-28.8831348419,14.2774658203,0.235971912742,0,0,0,112,REFLECT
121,-1.61299836636,-21.9036445618,34.6574745178,0,0,0,-1,CREATE
121,-1.49806070328,29.1842250824,-0.516700088978,0,0,0,18,REFLECT
122,-24.6434783936,-27.0650043488,27.1072807312,0,0,0,-1,CREATE
122,-24.8729419708,13.7920589447,-0.723177850246,0,0,0,119,REFLECT
123,-2.95198082924,-3.75886368752,61.2692337036,0,0,0,-1,CREATE
123,-2.9559431076,2.14244664676e-07,58.7028236389,0,0,0,127,ABSORB
124,-15.0028133392,-23.0289516449,33.0183601379,0,0,0,-1,CREATE
124,-15.0419969559,25.5418930054,-0.222002699971,0,0,0,89,REFLECT
125,17.1327400208,-22.4563694,33.8311500549,0,0,0,-1,CREATE
125,16.9862918854,26.5838031769,0.628466367722,0,0,0,35,REFLECT
126,-3.7553691864,-21.5684566498,35.1508522034,0,0,0,-1,CREATE
126,-3.3898897171,30.1558094025,-0.0242925547063,0,0,0,12,REFLECT
127,3.47513151169,-1.40418601036,64.7171478271,0,0,0,-1,CREATE
127,3.47496604919,-2.80923586615e-08,63.7651062012,0,0,0,127,ABSORB
128,-27.4999732971,-27.4021434784,26.6152362823,0,0,0,-1,CREATE
128,-27.561088562,12.7802686691,-0.663295030594,0,0,0,117,REFLECT
129,-13.0389738083,-22.0201129913,34.4962463379,0,0,0,-1,CREATE
129,-12.9471006393,27.4611721039,0.552095413208,0,0,0,86,REFLECT
130,-2.59491944313,-4.7667965889,59.790725708,0,0,0,-1,CREATE
130,-2.58003425598,-2.36036754586e-07,56.5615882874,0,0,0,127,ABSORB
131,-0.184752434492,-20.8950157166,36.135509491,0,0,0,-1,CREATE
131,-0.129337742925,31.1599502563,0.62019097805,0,0,0,9,REFLECT
132,23.9169120789,-27.1580600739,26.9300937653,0,0,0,-1,CREATE
132,23.8724994659,14.1009588242,-0.943250775337,0,0,0,73,REFLECT
133,12.6694688797,-21.7860622406,34.817943573,0,0,0,-1,CREATE
133,12.8194046021,28.3380622864,0.849908649921,0,0,0,32,REFLECT
134,0.61863976717,-3.42144584656,61.7610855103,0,0,0,-1,CREATE
134,0.563381552696,-2.55710119745e-10,59.4863891602,0,0,0,127,ABSORB
135,-11.4321947098,-24.0356292725,31.5389976501,0,0,0,-1,CREATE
135,-11.50025177,24.3432617188,-1.17139029503,0,0,0,101,REFLECT
136,-0.720344662666,-22.4073314667,33.9180335999,0,0,0,-1,CREATE
136,-0.694427549839,28.4369354248,-0.891671717167,0,0,0,19,REFLECT
137,12.1338768005,-23.2983798981,32.6004714966,0,0,0,-1,CREATE
137,12.2470016479,25.5300865173,-0.701870858669,0,0,0,42,REFLECT
138,4.90337753296,-3.58778572083,61.51354599,0,0,0,-1,CREATE
138,4.89713382721,7.00392774888e-08,59.0466499329,0,0,0,127,ABSORB
139,-4.73729038239,-4.93564462662,59.5448951721,0,0,0,-1,CREATE
139,-4.74463319778,-4.2050828597e-08,56.1968841553,0,0,0,127,ABSORB
140,-1.52373301983,-2.24619746208,63.4864692688,0,0,0,-1,CREATE
140,-1.52750134468,-3.83708282925e-08,61.9628791809,0,0,0,127,ABSORB
141,26.0592861176,-27.9972839355,25.6975135803,0,0,0,-1,CREATE
141,25.9384059906,11.7756137848,-1.37118470669,0,0,0,75,REFLECT
142,1.95762038231,-21.7342395782,34.9029273987,0,0,0,-1,CREATE
142,1.72850191593,29.817527771,-0.0329188741744,0,0,0,15,REFLECT
143,14.8118371964,-21.2811908722,35.5565795898,0,0,0,-1,CREATE
143,14.5450735092,28.6950492859,1.31591415405,0,0,0,28,REFLECT
144,2.76100873947,-4.26067018509,60.5285072327,0,0,0,-1,CREATE
144,2.7357814312,8.81072992343e-12,57.6310768127,0,0,0,127,ABSORB
145,-15.7169361115,-22.5251941681,33.7577552795,0,0,0,-1,CREATE
145,-15.681016922,26.5950260162,0.362646847963,0,0,0,84,REFLECT
146,-3.66610383987,-1.91100943089,63.979839325,0,0,0,-1,CREATE
146,-3.66314673424,8.29559780868e-08,62.6780776978,0,0,0,127,ABSORB
147,18.3824558258,-21.615819931,35.062828064,0,0,0,-1,CREATE
