Ray Number,Pos X,Pos Y,Pos Z,Cos X,Cos Y,Cos Z,Element,Event
10,28.2914206401,14.1194228191,0.217122845259,-0.395939333722,0.222821296128,0.890832595948,66,REFLECT
10,28.2914206401,14.1194228191,0.217122845259,-0.395939333722,0.222821296128,0.890832595948,-5,EXIT
11,-12.5511626427,-8254.26126991,5645.13116848,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
11,-17.2849300873,25.1006963703,-0.251620292807,0.169595491577,0.0362680810463,0.984846178616,87,REFLECT
11,-17.2849300873,25.1006963703,-0.251620292807,0.169595491577,0.0362680810463,0.984846178616,-5,EXIT
12,21.6321134943,-8253.17819319,5646.69091541,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
12,16.8979168913,26.9343712292,0.796322247558,-0.272177028684,0.0281124576571,0.961836449081,35,REFLECT
12,16.8979168913,26.9343712292,0.796322247558,-0.272177028684,0.0281124576571,0.961836449081,-5,EXIT
13,6.46411272076,-8233.68281228,5675.29501951,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
13,1.75646256549,-6.4851947982e-17,61.059112685,-0.000472389998554,0.826210377471,-0.563361508276,127,ABSORB
14,1.69456990499,-8251.61374904,5649.00200388,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
14,-3.04150360444,31.7815258962,0.869054964523,-0.0240837352094,-0.0559941731031,0.998140584425,7,REFLECT
14,-3.04150360444,31.7815258962,0.869054964523,-0.0240837352094,-0.0559941731031,0.998140584425,-5,EXIT
15,-11.124547121,-8252.33580019,5647.95381277,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
15,-15.8592478094,28.6584099063,1.45805886875,0.146489275061,-0.0105117021153,0.989156406445,79,REFLECT
15,-15.8592478094,28.6584099063,1.45805886875,0.146489275061,-0.0105117021153,0.989156406445,-5,EXIT
16,-22.5238561816,-8256.66810705,5641.60973012,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
16,-27.2538722784,16.1327496329,0.700713029137,0.295515720275,0.184551102322,0.937342706646,108,REFLECT
16,-27.2538722784,16.1327496329,0.700713029137,0.295515720275,0.184551102322,0.937342706646,-5,EXIT
17,17.3590744856,-8253.4188769,5646.34151838,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
17,12.6246522696,27.088284919,0.177864211699,-0.221206249269,0.018837462485,0.975045099107,37,REFLECT
17,12.6246522696,27.088284919,0.177864211699,-0.221206249269,0.018837462485,0.975045099107,-5,EXIT
18,28.7468402987,-8258.47323492,5638.9193881,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
18,24.0174392273,13.2519421545,-1.2561638699,-0.355738121456,0.225798936877,0.906898687312,73,REFLECT
18,24.0174392273,13.2519421545,-1.2561638699,-0.355738121456,0.225798936877,0.906898687312,-5,EXIT
19,5.9668689619,-8251.97477461,5648.46895137,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
19,1.23101608523,31.0346135127,0.599124030302,-0.0742599373122,-0.0495475419889,0.996007280492,10,REFLECT
19,1.23101608523,31.0346135127,0.599124030302,-0.0742599373122,-0.0495475419889,0.996007280492,-5,EXIT
20,-8.27693971116,-8253.05785133,5646.89248479,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
20,-13.0114460556,27.596451063,0.628501054548,0.118486094573,0.0051861841082,0.992942167947,86,REFLECT
20,-13.0114460556,27.596451063,0.628501054548,0.118486094573,0.0051861841082,0.992942167947,-5,EXIT
21,4.68148461026,-8235.56816805,5672.53150376,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
21,-0.027243506791,1.83081979756e-16,57.0100443673,-0.000472389998554,0.826210377471,-0.563361508276,127,ABSORB
22,-20.0330013124,-8257.95175353,5639.72508113,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
22,-24.7625618417,14.0523154965,-0.640636688441,0.263178945481,0.202499856538,0.94325534759,120,REFLECT
22,-24.7625618417,14.0523154965,-0.640636688441,0.263178945481,0.202499856538,0.94325534759,-5,EXIT
23,34.0897422884,-8256.86867682,5641.26810841,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
23,29.3601841755,15.1311657228,0.905272483203,-0.409773796761,0.204661210086,0.888931507246,56,REFLECT
23,29.3601841755,15.1311657228,0.905272483203,-0.409773796761,0.204661210086,0.888931507246,-5,EXIT
24,7.52953599118,-8235.92919362,5671.99964551,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
24,2.82060145592,2.30722447934e-16,56.2320164786,-0.000472389998554,0.826210377471,-0.563361508276,127,ABSORB
25,1.83654102673,-8232.67996347,5676.7696501,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
25,-2.87053574461,-1.97017982617e-16,63.217547831,-0.000472389998554,0.826210377471,-0.563361508276,127,ABSORB
26,5.60922847914,-8253.25842109,5646.5866909,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
26,0.873914914628,28.8077097657,-0.639965096266,-0.0666915218345,-0.0132854034729,0.997685190313,20,REFLECT
26,0.873914914628,28.8077097657,-0.639965096266,-0.0666915218345,-0.0132854034729,0.997685190313,-5,EXIT
27,29.8158153376,-8257.83141168,5639.85977192,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
27,25.0862097726,14.2514246858,-0.55965434911,-0.000472389998554,0.826210377471,-0.563361508276,69,ABSORB
28,8.95615151281,-8234.0037239,5674.8222898,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
